"MIC"	"COUNTRY"	"ISO COUNTRY CODE (ISO 3166)"	"OPERATING MIC"	"O/S"	"NAME-INSTITUTION DESCRIPTION"	"ACRONYM"	"CITY"	"WEBSITE"	"STATUS DATE"	"STATUS"	"CREATION DATE"	"COMMENTS"
"360T"	"GERMANY"	"DE"	"360T"	"O"	"360T"		"FRANKFURT"	"WWW.360T.COM"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"AATS"	"UNITED STATES OF AMERICA"	"US"	"AATS"	"O"	"ASSENT ATS"		"JERSEY CITY"	"WWW.SUNGARD.COM"	"OCTOBER 2011"	"ACTIVE"	"OCTOBER 2011"	"ASSENT ATS IS A US EQUITY DARK POOL OPERATED BY ASSENT, LLC - A SUBSIDIARY OF SUNGARD."
"ABUL"	"BULGARIA"	"BG"	"XBUL"	"S"	"BULGARIAN STOCK EXCHANGE - ALTERNATIVE MARKET"	"BSE"	"SOFIA"	"WWW.BSE-SOFIA.BG"	"AUGUST 2016"	"ACTIVE"	"AUGUST 2016"	"ALTERNATIVE REGULATED MARKET."
"ACEX"	"INDIA"	"IN"	"ACEX"	"O"	"ACE DERIVATIVES & COMMODITY EXCHANGE LTD"		"MUMBAI"	"WWW.ACEINDIA.COM"	"APRIL 2011"	"ACTIVE"	"APRIL 2011"	"DERIVATIVES EXCHANGE FOR COMMODITIES TRADING IN INDIA."
"ACKF"	"UNITED STATES OF AMERICA"	"US"	"KNIG"	"S"	"KCG ACKNOWLEDGE FI"	"ACKFI"	"NEW YORK"	"WWW.KCG.COM"	"MARCH 2017"	"ACTIVE"	"MARCH 2017"	"BI-LATERAL FIXED INCOME LIQUIDITY."
"AFDL"	"UNITED KINGDOM"	"GB"	"AFDL"	"O"	"ABIDE FINANCIAL DRSP LIMITED APA"	"AFDLAPA"	"LONDON"	"WWW.ABIDE-FINANCIAL.COM"	"MARCH 2017"	"ACTIVE"	"MARCH 2017"	
"AFET"	"THAILAND"	"TH"	"AFET"	"O"	"AGRICULTURAL FUTURES EXCHANGE OF THAILAND"		"BANGKOK"	"WWW.AFET.OR.TH"	"JANUARY 2008"	"ACTIVE"	"JANUARY 2008"	
"AIXE"	"SWITZERLAND"	"CH"	"AIXE"	"O"	"AIXECUTE"		"BERNE"	"WWW.BEKB.CH"	"OCTOBER 2013"	"ACTIVE"	"JULY 2012"	
"ALDP"	"UNITED STATES OF AMERICA"	"US"	"XNYS"	"S"	"NYSE ALTERNEXT DARK"	"AMEXDARK"	"NEW YORK"	"WWW.EURONEXT.COM/LANDING/EQUITIESOP-21363-EN.HTML"	"MAY 2011"	"ACTIVE"	"MAY 2011"	"DARK POOL."
"ALTX"	"SOUTH AFRICA"	"ZA"	"XJSE"	"S"	"JSE ALTERNATE EXCHANGE"	"ALTX"	"JOHANNESBURG"	"WWW.JSE.CO.ZA/MARKETS/ALTX.ASPX"	"APRIL 2015"	"ACTIVE"	"AUGUST 2006"	
"ALXA"	"THE NETHERLANDS"	"NL"	"XAMS"	"S"	"EURONEXT - ALTERNEXT AMSTERDAM"		"AMSTERDAM"	"WWW.EURONEXT.COM"	"MAY 2015"	"ACTIVE"	"AUGUST 2007"	
"ALXB"	"BELGIUM"	"BE"	"XBRU"	"S"	"EURONEXT - ALTERNEXT BRUSSELS"		"BRUSSELS"	"WWW.EURONEXT.COM"	"APRIL 2015"	"ACTIVE"	"AUGUST 2007"	
"ALXL"	"PORTUGAL"	"PT"	"XLIS"	"S"	"EURONEXT - ALTERNEXT LISBON"		"LISBON"	"WWW.EURONEXT.COM"	"APRIL 2015"	"ACTIVE"	"MAY 2011"	"ALTERNEXT IS THE NAME OF A MARKET (MTF) ORGANISED IN PORTUGAL BY EURONEXT LISBON, SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS, S.A."
